set_number,name,current_lego_mrp_inr,mbh_storefront_price_NOT_A_CONFIRMED_MRP,mbh_url
42668,"Friends Advent Calendar 2025",3100,3199,https://lego.mybrickhouse.com/products/friends-advent-calendar-2025-christmas-toy-42668-building-kit-237-pieces
21361,"Gremlins: Gizmo",9900,10999,https://lego.mybrickhouse.com/products/ideas-21361-1
42165,"Mercedes-AMG F1 W14 Pull-Back",2400,2749,https://lego.mybrickhouse.com/products/technic-mercedes-amg-f1-w14-e-performance-pull-back-42165-building-kit-240-pieces
854236,"Darth Vader Key Chain",500,699,https://lego.mybrickhouse.com/products/star-wars-darth-vader-keyring-854236-gift-idea-for-kids-aged-6-and-over
10348,"Japanese Red Maple Bonsai Tree",5400,6399,https://lego.mybrickhouse.com/products/japanese-red-maple-bonsai-tree
40528,"LEGO Store",,2099,https://lego.mybrickhouse.com/products/store-40528-building-kit-402-pieces
854153,"Miles Morales Key Chain",500,699,https://lego.mybrickhouse.com/products/marvel-miles-morales-key-chain-854153-fun-and-practical-gift-for-kids-aged-6
10335,"The Endurance",24300,22899,https://lego.mybrickhouse.com/products/icons-the-endurance-ship-model-kit-for-adults-10335-building-kit-3011-pieces
75347,"TIE Bomber",5800,6399,https://lego.mybrickhouse.com/products/star-wars-tie-bomber-75347-building-toy-set-625-pieces
854286,"Snow White Key Chain",500,699,https://lego.mybrickhouse.com/products/snow-white-keyring-854286
854237,"Dark Blue Brick Key Chain",500,699,https://lego.mybrickhouse.com/products/earth-blue-2x4-keyring-854237-gift-for-lego-builders-aged-10
10294,"Titanic",61200,63999,https://lego.mybrickhouse.com/products/titanic-10294-building-kit-9-090-pieces
854187,"Grogu Key Chain",500,699,https://lego.mybrickhouse.com/products/star-wars-grogu-keyring-854187-fun-gift-idea-for-kids-aged-6-and-up
850807,"Gold Minifigure Key Chain",,699,https://lego.mybrickhouse.com/products/keyring-minifigure-gold-850807
853449,"Yoda Key Chain",,699,https://lego.mybrickhouse.com/products/keyring-yoda-2015-853449
854114,"Harry Potter Key Chain",500,699,https://lego.mybrickhouse.com/products/harry-potter-harry-potter-keyring-minifigure
853998,"Mickey Key Chain",500,699,https://lego.mybrickhouse.com/products/disney-mickey-keyring-853998
10472,"Animal Building Game",4500,5499,https://lego.mybrickhouse.com/products/lego-r-duplo-r-animal-building-game-learning-toy-10472
31393,"Forest Animals: Gray Wolf",4500,5499,https://lego.mybrickhouse.com/products/lego-r-creator-3-in-1-forest-animals-gray-wolf-toy-31393
42704,"Heartlake City Grand Hotel",13500,15999,https://lego.mybrickhouse.com/products/lego-r-friends-heartlake-city-grand-hotel-42704
60499,"Airport Fire Truck",6300,7499,https://lego.mybrickhouse.com/products/lego-r-city-airport-fire-truck-toy-truck-building-set-60499
43011,"Lionel Messi – Football Highlights",2700,2999,https://lego.mybrickhouse.com/products/lego-r-editions-lionel-messi-soccer-highlights-43011
21585,"Chicken Farm",1800,1999,https://lego.mybrickhouse.com/products/lego-r-minecraft-r-chicken-farm-gaming-building-toy-21585
42241,"Green Bugatti Chiron Pur Sport Hypercar",5800,6999,https://lego.mybrickhouse.com/products/lego-r-technic-green-bugatti-chiron-pur-sport-hypercar-42241
854316,"Baby Ankylosaurus Key Chain",500,699,https://lego.mybrickhouse.com/products/baby-ankylosaurus-keyring-dinosaur-gift-854316
40220,"London Bus",,899,https://lego.mybrickhouse.com/products/london-bus-40220-building-kit-118-pieces
853946,"Stormtrooper Key Chain",,699,https://lego.mybrickhouse.com/products/stormtrooper-keyring-853946
76326,"Iron Spider-Man Bust",5400,6649,https://lego.mybrickhouse.com/products/marvel-iron-spider-man-bust-collectible-adult-76326-building-kit-379-pieces
